Index;Navn;Moh;Pf;Kartblad M711;Koordinater UTM 32V;Koordinater grad, min, sek
[197] ;Smørstabbtinden, SØ ;2030;40;1518 II «Galdhøpiggen» ;453400 6822700 ;61°32′06″N 08°07′25″Ø
[198] ;Langvasshøi ;2030;70;1518 II «Galdhøpiggen» ;463950 6821400 ;61°31′28″N 08°19′20″Ø
[199] ;Slingsbytinden ;2026;90;1517 I «Tyin» ;454300 6811500 ;61°26′05″N 08°08′36″Ø
[200] ;Stølsmaradalstinden ;2026;210;1517 IV «Hurrungane» ;437750 6811500 ;61°25′56″N 07°49′59″Ø
[201] ;Steindalsnosi ;2025;180;1518 III «Sygnefjell» ;441700 6821950 ;61°31′36″N 07°54′14″Ø
[202] ;Ringstinden, Midtre ;2025;265;1517 IV «Hurrungane» ;437500 6812650 ;61°26′33″N 07°49′41″Ø
[203] ;Hesthøi ;2021;210;1518 I «Skjåk» ;457400 6849700 ;61°46′40″N 08°11′33″Ø
[204] ;Stetinden ;2020;445;1518 II «Galdhøpiggen» ;457200 6824050 ;61°32′51″N 08°11′41″Ø
[205] ;Tverrådalskyrkja, S-2 («Steinkollen») ;2020;80;1418 II «Mørkrisdalen» ;430400 6844700 ;61°43′45″N 07°40′58″Ø
[206] ;Kalvehølotinden, N ;2019;110;1617 IV «Gjende» ;480300 6804200 ;61°22′17″N 08°37′53″Ø
[207] ;Trolltinden ;2018;780;1718 I «Rondane» ;537200 6865400 ;61°55′10″N 09°42′30″Ø
[208] ;Storbreatinden ;2018;90;1518 II «Galdhøpiggen» ;453600 6828500 ;61°35′14″N 08°07′33″Ø
[209] ;Grotbreahesten ;2018;100;1618 III «Glittertinden» ;477650 6838000 ;61°40′29″N 08°34′40″Ø
[210] ;Brenibba ;2017;300;1418 IV «Lodalskåpa» ;404700 6849250 ;61°45′52″N 07°11′39″Ø
[211] ;Storsmeden ;2016;270;1718 I «Rondane» ;538850 6864300 ;61°54′34″N 09°44′22″Ø
[212] ;Rauddalseggje, Ø-1 ;2016;125;1517 I «Tyin» ;464500 6814500 ;61°27′46″N 08°20′02″Ø
[213] ;Veslesmeden ;2015;200;1718 I «Rondane» ;539750 6865100 ;61°54′59″N 09°45′25″Ø
[214] ;Digerronden ;2015;190;1718 I «Rondane» ;543600 6869050 ;61°57′05″N 09°49′52″Ø
[215] ;Langeskavlstinden ;2014;200;1517 I «Tyin» ;456200 6810750 ;61°25′41″N 08°10′45″Ø
[216] ;Gråhø ;2014;985;1319 II «Tordsvatnet» ;453500 6882450 ;62°04′17″N 08°06′36″Ø
[217] ;Låven (Hestbrepiggen, NV) ;2012;40;1518 IV «Pollfoss» ;449950 6847000 ;61°45′10″N 08°03′07″Ø
[218] ;Rasletinden, Ø ;2010;30;1617 IV «Gjende» ;485150 6807250 ;61°23′56″N 08°43′19″Ø
[219] ;Urdadalstinden, SV-2 ;2005;30;1518 II «Galdhøpiggen» ;465850 6821000 ;61°31′16″N 08°21′29″Ø
[220] ;Svånåtinden, N ;2004;50;1419 I «Storskrymten» ;509300 6908100 ;62°18′16″N 09°10′46″Ø
[221] ;Skredahøin ;2004;380;1419 I «Storskrymten» ;510300 6902950 ;62°15′29″N 09°11′54″Ø
[222] ;Semelholstinden, N ;2004;30;1518 II «Galdhøpiggen» ;465350 6823050 ;61°32′22″N 08°20′54″Ø
[223] ;Skagsnebb ;2003;50;1518 II «Galdhøpiggen» ;454750 6830600 ;61°36′22″N 08°08′49″Ø
[224] ;Ringstinden, Austre ;2002;130;1517 IV «Hurrungane» ;438100 6812900 ;61°26′42″N 07°50′21″Ø
[225] ;Geite ;2002;70;1518 II «Galdhøpiggen» ;455450 6825900 ;61°33′51″N 08°09′41″Ø
[226] ;Stølsnostinden, Ø-1 ;2001;115;1517 IV «Hurrungane» ;450900 6807150 ;61°23′43″N 08°04′51″Ø
[227] ;Storbreahøe ;2001;95;1518 II «Galdhøpiggen» ;454650 6828750 ;61°35′22″N 08°08′42″Ø
[228] ;Bruri ;2001;150;1419 I «Storskrymten» ;510400 6907300 ;62°17′49″N 9°12′1″Ø
