Index;Navn;Moh;Pf;Kartblad M711;Koordinater UTM 32V;Koordinater grad, min, sek
[127] ;Høgronden ;2115;700;1718 I «Rondane» ;547250 6868300 ;61°56′39″N 09°54′02″Ø
[128] ;Hinnotefjellet ;2114;210;1518 II «Galdhøpiggen» ;470800 6820700 ;61°31′08″N 08°27′04″Ø
[129] ;Tverrbottinden, V-1 ;2113;120;1518 II «Galdhøpiggen» ;460100 6827900 ;61°34′57″N 08°14′54″Ø
[130] ;Gravdalstinden ;2113;240;1518 II «Galdhøpiggen» ;453050 6821350 ;61°31′22″N 08°07′03″Ø
[131] ;Torfinnstinden, M ;2112;100;1617 IV «Gjende» ;477100 6804550 ;61°22′27″N 08°34′18″Ø
[132] ;Tverrbottinden, M-2 ;2106;50;1518 II «Galdhøpiggen» ;461100 6825850 ;61°33′51″N 08°16′04″Ø
[133] ;Larstinden, Store ;2106;250;1519 IV «Snøhetta» ;511500 6909900 ;62°19′14″N 09°13′19″Ø
[134] ;Rasletinden ;2105;110;1617 IV «Gjende» ;483950 6806850 ;61°23′43″N 08°41′58″Ø
[135] ;Austanbottstind, Søre ;2103;30;1517 IV «Hurrungane» ;435450 6811050 ;61°25′41″N 07°47′25″Ø
[136] ;Tverrbytthornet ;2102;275;1518 II «Galdhøpiggen» ;463200 6825150 ;61°33′29″N 08°18′27″Ø
[137] ;Skarddalstinden ;2100;150;1517 I «Tyin» ;463800 6817450 ;61°29′21″N 08°19′13″Ø
[138] ;Austanbottstind, V-1 ;2100;30;1517 IV «Hurrungane» ;435400 6811600 ;61°25′58″N 07°47′21″Ø
[139] ;Bakarste Skagsnebb ;2093;140;1518 II «Galdhøpiggen» ;453900 6830100 ;61°36′06″N 08°07′52″Ø
[140] ;Veslbreatinden ;2092;120;1518 II «Galdhøpiggen» ;452850 6829200 ;61°35′36″N 08°06′42″Ø
[141] ;Hestdalshøgdi ;2091;660;1518 IV «Pollfoss» ;449200 6852350 ;61°48′02″N 08°02′11″Ø
[142] ;Trollsteinhøe, Austre ;2090;40;1618 III «Glittertinden» ;479150 6841350 ;61°42′17″N 08°36′21″Ø
[143] ;Tverrådalskyrkja ;2089;650;1418 II «Mørkrisdalen» ;430650 6846250 ;61°44′35″N 07°41′13″Ø
[144] ;Nautgardsoksle ;2089;50;1618 III «Glittertinden» ;485850 6830800 ;61°36′37″N 08°44′00″Ø
[145] ;Glitterrundhøe ;2089;35;1618 III «Glittertinden» ;474950 6834000 ;61°38′19″N 08°31′38″Ø
[146] ;Rauddalstinden, Ø-3 ;2086;415;1517 I «Tyin» ;460850 6817500 ;61°29′21″N 08°15′53″Ø
[147] ;Torfinnstinden, V ;2090;35;1617 IV «Gjende» ;476950 6804600 ;61°22′29″N 08°34′07″Ø
